epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.123,1.43265,1.72725,1.72179,0.00013,0.03571,7e-05,3e-05,3.50499,inf,6.11771,0.000661654,0.000661654,0.000661654
2,103.035,1.83382,2.04065,2.03236,0.03951,0.07857,0.01026,0.00357,3.88332,20.6418,6.20584,0.00131517,0.00131517,0.00131517
3,142.335,1.81224,2.04662,2.01502,0.06823,0.13214,0.04465,0.01906,2.33889,17.3407,2.95278,0.00195549,0.00195549,0.00195549
4,180.845,1.68472,1.94144,1.93139,0.19632,0.14286,0.08102,0.01941,3.53602,3.45569,3.83802,0.0019406,0.0019406,0.0019406
5,220.452,1.6278,1.87493,1.89022,0.38557,0.40357,0.37027,0.1604,1.85803,2.97502,2.47796,0.0019208,0.0019208,0.0019208
6,259.317,1.59107,1.81054,1.86402,0.53958,0.55,0.54065,0.25811,1.76211,1.96921,2.22504,0.001901,0.001901,0.001901
7,298.26,1.49969,1.727,1.80847,0.56844,0.60714,0.63094,0.34157,1.52802,1.75213,1.97098,0.0018812,0.0018812,0.0018812
8,337.317,1.48942,1.68025,1.7901,0.71536,0.63214,0.6709,0.35639,1.55838,1.639,2.01236,0.0018614,0.0018614,0.0018614
9,375.901,1.39956,1.58695,1.70278,0.63489,0.57756,0.62521,0.33324,1.59397,1.73501,2.09455,0.0018416,0.0018416,0.0018416
10,413.563,1.3841,1.51623,1.6775,0.62971,0.67143,0.69811,0.38936,1.57,1.52336,1.98702,0.0018218,0.0018218,0.0018218
11,451.817,1.38202,1.48225,1.69429,0.6921,0.725,0.7537,0.41985,1.48934,1.30638,1.91129,0.001802,0.001802,0.001802
12,490.941,1.34886,1.43253,1.64109,0.74466,0.675,0.74052,0.45108,1.39605,1.33182,1.84042,0.0017822,0.0017822,0.0017822
13,529.805,1.28937,1.35817,1.61246,0.72434,0.64643,0.74227,0.43096,1.42801,1.6303,1.90386,0.0017624,0.0017624,0.0017624
14,568.023,1.30739,1.40579,1.65252,0.71057,0.65,0.70934,0.41262,1.50497,1.36136,1.9589,0.0017426,0.0017426,0.0017426
15,605.978,1.31848,1.40629,1.66676,0.87535,0.627,0.77307,0.46517,1.33788,1.29207,1.82303,0.0017228,0.0017228,0.0017228
16,644.725,1.28992,1.32731,1.61625,0.75249,0.74921,0.81548,0.50256,1.33044,1.16434,1.79673,0.001703,0.001703,0.001703
17,683.959,1.29442,1.32344,1.61774,0.7922,0.70803,0.83016,0.51658,1.31926,1.13214,1.79349,0.0016832,0.0016832,0.0016832
18,722.387,1.24485,1.2979,1.58044,0.83888,0.72143,0.82773,0.48883,1.34615,1.21221,1.8158,0.0016634,0.0016634,0.0016634
19,760.243,1.23926,1.24725,1.57927,0.76762,0.79643,0.85294,0.53984,1.28874,1.01237,1.75261,0.0016436,0.0016436,0.0016436
20,798.488,1.21829,1.20535,1.54757,0.78954,0.75031,0.81473,0.5122,1.30716,1.11236,1.77312,0.0016238,0.0016238,0.0016238
